anc,latitude,block,offensegroup,location,sector,yblock,method,ccn,end_date,longitude,offense_text,neighborhood_cluster,shift,psa,census_tract,ward,bid,octo_record_id,district,xblock,year,report_dat,ucr_rank,offensekey,start_date,voting_precinct,offense,block_group,report_dateonly,report_time,report_hour,report_dayname,report_month,report_weeknum,is_weekend,start_hour,incident_duration_minutes,main_offense,sub_offense,offense_category,method_flag,case_openclose
5E,38.9118618726,1600 - 1699 block of 4th street nw,property,"38.9118618726,-77.0161674052",3D2,138222.19,others,25006900,2025-01-15 13:00:00,-77.0161674052,motor vehicle theft,cluster 21,day,308.0,4600.0,5.0,,,3.0,398597.81,2025,2025-01-15 14:22:22,8,property|motor vehicle theft,2025-01-15 11:00:00,precinct 19,motor vehicle theft,004600 2,2025-01-15,14:22:22,14,Wednesday,January,3,False,11,120.0,property,motor vehicle theft,theft,Others,Closed
1A,38.9295168861,3100 - 3299 block of 14th street nw,property,"38.9295168861,-77.0327298633",3D1,140182.43,others,25014853,2025-01-31 11:40:00,-77.0327298633,theft/other,cluster 2,day,302.0,2802.0,1.0,,,3.0,397162.06,2025,2025-01-31 11:59:42,6,property|theft/other,2025-01-31 11:17:00,precinct 39,theft/other,002802 1,2025-01-31,11:59:42,11,Friday,January,5,False,11,23.0,property,theft/other,theft,Others,Closed
6E,38.907238228,1 - 99 block of n street ne,property,"38.907238228,-77.0074918952",5D1,137708.83,others,25016590,,-77.0074918952,motor vehicle theft,cluster 25,evening,501.0,10601.0,6.0,noma,,5.0,399350.19,2025,2025-02-03 18:51:04,8,property|motor vehicle theft,2025-02-03 18:20:00,precinct 144,motor vehicle theft,010601 1,2025-02-03,18:51:04,18,Monday,February,6,False,18,,property,motor vehicle theft,theft,Others,Open
4B,38.9793901238,700 - 799 block of geranium street nw,property,"38.9793901238,-77.0239799675",4D1,145718.58,others,25013322,2025-01-28 13:10:00,-77.0239799675,theft/other,cluster 17,evening,401.0,10300.0,4.0,,,4.0,397922.2,2025,2025-01-28 20:44:37,6,property|theft/other,2025-01-28 11:15:00,precinct 63,theft/other,010300 2,2025-01-28,20:44:37,20,Tuesday,January,5,False,11,115.0,property,theft/other,theft,Others,Closed
6D,38.8806810777,1 - 99 block of blair alley sw,property,"38.8806810777,-77.0263543816",1D1,134761.08,others,25022007,2025-02-14 16:26:00,-77.0263543816,theft/other,cluster 9,evening,103.0,10202.0,6.0,southwest,,1.0,397713.3,2025,2025-02-14 16:25:39,6,property|theft/other,2025-02-13 05:25:00,precinct 142,theft/other,010202 5,2025-02-14,16:25:39,16,Friday,February,7,False,5,2101.0,property,theft/other,theft,Others,Closed
7F,38.8944740251,3905 - 3999 block of minnesota avenue ne,property,"38.8944740251,-76.9496254665",6D3,136293.08,others,25001873,2025-01-04 16:11:00,-76.9496254665,theft f/auto,cluster 32,evening,603.0,9603.0,7.0,,,6.0,404370.02,2025,2025-01-04 22:00:51,7,property|theft f/auto,2025-01-04 13:51:00,precinct 102,theft f/auto,009603 2,2025-01-04,22:00:51,22,Saturday,January,1,True,13,140.0,property,theft f/auto,theft,Others,Closed
8D,38.8314649558,1 - 99 block of atlantic street sw,property,"38.8314649558,-77.0083188214",7D3,129297.44,others,25006275,,-77.0083188214,theft/other,cluster 39,day,708.0,9807.0,8.0,,,7.0,399277.7,2025,2025-01-14 11:37:40,6,property|theft/other,2025-01-14 08:56:00,precinct 124,theft/other,009807 1,2025-01-14,11:37:40,11,Tuesday,January,3,False,8,,property,theft/other,theft,Others,Open
7B,38.8637214143,2004 - 2199 block of fort davis street se,property,"38.8637214143,-76.9503981978",6D2,132879.27,others,25013659,2025-01-29 04:00:00,-76.9503981978,motor vehicle theft,cluster 35,day,606.0,7603.0,7.0,,,6.0,404304.84,2025,2025-01-31 10:37:14,8,property|motor vehicle theft,2025-01-28 16:00:00,precinct 110,motor vehicle theft,007603 1,2025-01-31,10:37:14,10,Friday,January,5,False,16,720.0,property,motor vehicle theft,theft,Others,Closed
2G,38.9021000122,700 - 899 block of k street nw,property,"38.9021000122,-77.022952155",1D1,137138.67,others,25014763,,-77.022952155,theft/other,cluster 8,day,101.0,5802.0,2.0,downtown,,1.0,398009.1,2025,2025-01-31 09:02:09,6,property|theft/other,2025-01-31 00:00:00,precinct 129,theft/other,005802 5,2025-01-31,09:02:09,9,Friday,January,5,False,0,,property,theft/other,theft,Others,Open
5A,38.9483556235,4713 - 4950 block of sargent road ne,property,"38.9483556235,-76.989453431",4D2,142273.24,others,25022329,2025-02-15 04:00:00,-76.989453431,motor vehicle theft,cluster 20,midnight,405.0,9503.0,5.0,,,4.0,400914.23,2025,2025-02-15 06:47:01,8,property|motor vehicle theft,2025-02-14 19:00:00,precinct 67,motor vehicle theft,009503 1,2025-02-15,06:47:01,6,Saturday,February,7,True,19,540.0,property,motor vehicle theft,theft,Others,Closed
1B,38.917236462,2000 - 2099 block of 8th street nw,property,"38.917236462,-77.0229457261",3D2,138818.94,others,25022864,2025-02-16 11:37:00,-77.0229457261,theft/other,cluster 3,day,305.0,3500.0,1.0,,,3.0,398010.08,2025,2025-02-18 07:40:14,6,property|theft/other,2025-02-16 11:34:00,precinct 37,theft/other,003500 3,2025-02-18,07:40:14,7,Tuesday,February,8,False,11,3.0,property,theft/other,theft,Others,Closed
5D,38.9012753565,812 - 899 block of bladensburg road ne,property,"38.9012753565,-76.9826084878",5D3,137047.02,others,25014279,2025-02-06 11:05:00,-76.9826084878,theft/other,cluster 23,day,507.0,8903.0,5.0,,,5.0,401508.58,2025,2025-01-30 11:12:49,6,property|theft/other,2025-01-30 10:50:00,precinct 79,theft/other,008903 3,2025-01-30,11:12:49,11,Thursday,January,5,False,10,10095.0,property,theft/other,theft,Others,Closed
4E,38.9562140777,1300 - 1399 block of kennedy street nw,property,"38.9562140777,-77.0315605889",4D1,143146.02,others,25008650,2025-01-19 00:37:00,-77.0315605889,motor vehicle theft,cluster 18,midnight,403.0,2002.0,4.0,,,4.0,397264.47,2025,2025-01-19 05:52:11,8,property|motor vehicle theft,2025-01-18 16:00:00,precinct 54,motor vehicle theft,002002 2,2025-01-19,05:52:11,5,Sunday,January,3,True,16,517.0,property,motor vehicle theft,theft,Others,Closed
1A,38.9306002081,1326 - 1399 block of park road nw,property,"38.9306002081,-77.0318135912",3D1,140302.66,others,25011626,2025-01-25 07:20:00,-77.0318135912,theft/other,cluster 2,day,302.0,2900.0,1.0,,,3.0,397241.55,2025,2025-01-25 08:11:14,6,property|theft/other,2025-01-25 07:10:00,precinct 41,theft/other,002900 2,2025-01-25,08:11:14,8,Saturday,January,4,True,7,10.0,property,theft/other,theft,Others,Closed
2B,38.9099274291,1300 - 1699 block of connecticut avenue nw,property,"38.9099274291,-77.0436069637",2D3,138008.23,others,25026029,2025-02-22 10:42:00,-77.0436069637,theft/other,cluster 6,evening,208.0,4202.0,2.0,dupont circle,,2.0,396217.89,2025,2025-02-22 17:16:40,6,property|theft/other,2025-02-22 10:40:00,precinct 14,theft/other,004202 1,2025-02-22,17:16:40,17,Saturday,February,8,True,10,2.0,property,theft/other,theft,Others,Closed
7F,38.893341918,4400 - 4499 block of brooks street ne,property,"38.893341918,-76.9384759683",6D1,136168.0,others,25004030,2025-01-09 18:42:00,-76.9384759683,motor vehicle theft,cluster 30,evening,602.0,7803.0,7.0,,,6.0,405337.33,2025,2025-01-09 18:56:19,8,property|motor vehicle theft,2025-01-09 18:00:00,precinct 98,motor vehicle theft,007803 3,2025-01-09,18:56:19,18,Thursday,January,2,False,18,42.0,property,motor vehicle theft,theft,Others,Closed
5D,38.9099817702,200 - 399 block of new york avenue ne,property,"38.9099817702,-77.0014592123",5D1,138013.36,others,25420039,2024-12-05 12:51:00,-77.0014592123,theft/other,cluster 23,evening,501.0,8803.0,5.0,,,5.0,399873.44,2025,2025-01-03 20:31:10,6,property|theft/other,2024-11-06 10:00:00,precinct 76,theft/other,008803 2,2025-01-03,20:31:10,20,Friday,January,1,False,10,41931.0,property,theft/other,theft,Others,Closed
8F,38.8792863775,1 - 69 block of i street se,property,"38.8792863775,-77.0082611251",1D3,134605.96,others,25000611,2025-01-02 09:14:00,-77.0082611251,theft/other,cluster 27,day,106.0,7202.0,6.0,capitol riverfront,,1.0,399283.19,2025,2025-01-02 09:18:02,6,property|theft/other,2025-01-02 08:38:00,precinct 131,theft/other,007202 2,2025-01-02,09:18:02,9,Thursday,January,1,False,8,36.0,property,theft/other,theft,Others,Closed
4D,38.9564773368,400 - 499 block of kennedy street nw,property,"38.9564773368,-77.0188499162",4D1,143174.94,others,25025538,2025-02-21 16:47:00,-77.0188499162,motor vehicle theft,cluster 18,evening,403.0,2102.0,4.0,,,4.0,398366.18,2025,2025-02-21 16:58:18,8,property|motor vehicle theft,2025-02-21 15:37:00,precinct 56,motor vehicle theft,002102 6,2025-02-21,16:58:18,16,Friday,February,8,False,15,70.0,property,motor vehicle theft,theft,Others,Closed
6E,38.9064480215,1 - 99 block of patterson street ne,property,"38.9064480215,-77.0074007312",5D1,137621.11,others,25024534,2025-02-19 16:30:00,-77.0074007312,motor vehicle theft,cluster 25,evening,501.0,10601.0,6.0,noma,,5.0,399358.09,2025,2025-02-19 16:19:28,8,property|motor vehicle theft,2025-02-19 15:28:00,precinct 144,motor vehicle theft,010601 1,2025-02-19,16:19:28,16,Wednesday,February,8,False,15,62.0,property,motor vehicle theft,theft,Others,Closed
5A,38.9456184874,36 - 99 block of hawaii avenue ne,property,"38.9456184874,-77.0064113544",4D2,141969.36,others,25024944,2025-02-19 10:00:00,-77.0064113544,theft/other,cluster 19,day,405.0,9510.0,5.0,,,4.0,399444.21,2025,2025-02-20 13:35:24,6,property|theft/other,2025-02-18 18:00:00,precinct 44,theft/other,009510 2,2025-02-20,13:35:24,13,Thursday,February,8,False,18,960.0,property,theft/other,theft,Others,Closed
1C,38.9265025749,2900 - 2923 block of 18th street nw,property,"38.9265025749,-77.0413784152",3D3,139848.12,others,25420273,2025-01-17 15:22:00,-77.0413784152,theft/other,cluster 1,evening,303.0,3902.0,1.0,,,3.0,396412.01,2025,2025-01-18 17:31:25,6,property|theft/other,2025-01-16 15:21:00,precinct 35,theft/other,003902 1,2025-01-18,17:31:25,17,Saturday,January,3,True,15,1441.0,property,theft/other,theft,Others,Closed
8D,38.8308063012,4000 - 4098 block of south capitol street,property,"38.8308063012,-77.0076745977",7D3,129224.32,others,25010117,2025-01-22 09:49:00,-77.0076745977,motor vehicle theft,cluster 39,day,708.0,9810.0,8.0,,,7.0,399333.63,2025,2025-01-22 10:48:37,8,property|motor vehicle theft,2025-01-22 08:48:00,precinct 124,motor vehicle theft,009810 2,2025-01-22,10:48:37,10,Wednesday,January,4,False,8,61.0,property,motor vehicle theft,theft,Others,Closed
8F,38.8779673826,1000 - 1099 block of 1st street se,property,"38.8779673826,-77.005877691",1D3,134459.5255302091,others,25420253,2025-01-12 05:00:00,-77.005877691,theft f/auto,cluster 27,day,106.0,7202.0,6.0,capitol riverfront,,1.0,399489.9888934796,2025,2025-01-17 12:32:45,7,property|theft f/auto,2025-01-11 22:00:00,precinct 131,theft f/auto,007202 2,2025-01-17,12:32:45,12,Friday,January,3,False,22,420.0,property,theft f/auto,theft,Others,Closed
5E,38.9126023648,1 - 99 block of r street nw,property,"38.9126023648,-77.0106031994",3D2,138304.32,others,25420113,2025-01-05 12:15:00,-77.0106031994,theft/other,cluster 21,evening,308.0,3302.0,5.0,,,3.0,399080.4,2025,2025-01-10 22:02:03,6,property|theft/other,2025-01-05 12:14:00,precinct 19,theft/other,003302 2,2025-01-10,22:02:03,22,Friday,January,2,False,12,1.0,property,theft/other,theft,Others,Closed
8A,38.867748896,1800 - 1899 block of 18th street se,property,"38.867748896,-76.9790058685",6D2,133325.3900731566,others,25005914,2025-01-13 16:56:00,-76.9790058685,motor vehicle theft,cluster 34,evening,607.0,7605.0,8.0,,,6.0,401821.9354236437,2025,2025-01-13 17:38:35,8,property|motor vehicle theft,2025-01-13 16:25:00,precinct 112,motor vehicle theft,007605 2,2025-01-13,17:38:35,17,Monday,January,3,False,16,31.0,property,motor vehicle theft,theft,Others,Closed
1A,38.9350935435,3600 - 3699 block of 10th street nw,property,"38.9350935435,-77.0272021644",4D3,140801.33,others,25020004,2025-02-09 06:20:00,-77.0272021644,theft f/auto,cluster 2,evening,409.0,2900.0,1.0,,,4.0,397641.54,2025,2025-02-10 15:33:33,7,property|theft f/auto,2025-02-09 04:00:00,precinct 42,theft f/auto,002900 1,2025-02-10,15:33:33,15,Monday,February,7,False,4,140.0,property,theft f/auto,theft,Others,Closed
4E,38.9529043829,1200 - 1299 block of hamilton street nw,property,"38.9529043829,-77.0286345575",4D1,142778.53,others,25015841,2025-02-02 10:45:00,-77.0286345575,motor vehicle theft,cluster 18,day,403.0,2002.0,4.0,,,4.0,397517.97,2025,2025-02-02 10:47:19,8,property|motor vehicle theft,2025-02-02 10:12:00,precinct 54,motor vehicle theft,002002 3,2025-02-02,10:47:19,10,Sunday,February,5,True,10,33.0,property,motor vehicle theft,theft,Others,Closed
7B,38.8689782666,3432 - 3599 block of texas avenue se,property,"38.8689782666,-76.9534447307",6D2,133462.68,others,25020644,2025-02-11 17:30:00,-76.9534447307,motor vehicle theft,cluster 34,evening,605.0,9901.0,7.0,,,6.0,404040.14,2025,2025-02-11 18:59:58,8,property|motor vehicle theft,2025-02-11 16:00:00,precinct 109,motor vehicle theft,009901 2,2025-02-11,18:59:58,18,Tuesday,February,7,False,16,90.0,property,motor vehicle theft,theft,Others,Closed
1C,38.9163836629,1900 - 1999 block of connecticut avenue nw,property,"38.9163836629,-77.0465189898",3D3,138725.05,others,25022222,2025-02-14 22:35:00,-77.0465189898,motor vehicle theft,cluster 1,midnight,303.0,4002.0,1.0,dupont circle,,3.0,395965.69,2025,2025-02-14 23:30:06,8,property|motor vehicle theft,2025-02-14 21:00:00,precinct 25,motor vehicle theft,004002 3,2025-02-14,23:30:06,23,Friday,February,7,False,21,95.0,property,motor vehicle theft,theft,Others,Closed
8A,38.867266656,1500 - 1599 block of t street se,property,"38.867266656,-76.9826517519",6D2,133271.7914171069,others,25012162,2025-01-26 09:00:00,-76.9826517519,motor vehicle theft,cluster 34,day,607.0,7605.0,8.0,,,6.0,401505.5446073501,2025,2025-01-26 10:29:18,8,property|motor vehicle theft,2025-01-25 18:30:00,precinct 112,motor vehicle theft,007605 2,2025-01-26,10:29:18,10,Sunday,January,4,True,18,870.0,property,motor vehicle theft,theft,Others,Closed
5D,38.9164774036,1500 - 1599 block of new york avenue ne,property,"38.9164774036,-76.9827155922",5D3,138734.57,others,25014508,2025-01-30 16:05:00,-76.9827155922,theft/other,cluster 23,evening,506.0,8803.0,5.0,,,5.0,401498.97,2025,2025-01-30 18:58:07,6,property|theft/other,2025-01-30 16:00:00,precinct 76,theft/other,008803 1,2025-01-30,18:58:07,18,Thursday,January,5,False,16,5.0,property,theft/other,theft,Others,Closed
5F,38.9209329952,500 - 799 block of rhode island avenue ne,property,"38.9209329952,-76.9971570051",5D1,139229.04,others,25015102,2025-01-31 19:30:00,-76.9971570051,theft f/auto,cluster 21,evening,502.0,9204.0,5.0,,,5.0,400246.54,2025,2025-01-31 19:33:49,7,property|theft f/auto,2025-01-31 17:11:00,precinct 74,theft f/auto,009204 2,2025-01-31,19:33:49,19,Friday,January,5,False,17,139.0,property,theft f/auto,theft,Others,Closed
6C,38.8764575798,200 - 299 block of m street sw,property,"38.8764575798,-77.0145372107",1D3,134292.01,others,25016369,2025-01-26 18:00:00,-77.0145372107,theft/other,cluster 25,day,105.0,10602.0,6.0,noma,,1.0,398738.57,2025,2025-02-03 13:22:11,6,property|theft/other,2025-01-26 12:56:00,precinct 144,theft/other,010602 4,2025-02-03,13:22:11,13,Monday,February,6,False,12,304.0,property,theft/other,theft,Others,Closed
4B,38.969279362,6500 - 6599 block of piney branch road nw,property,"38.969279362,-77.025737247",4D1,144596.23,others,25002464,2025-01-05 19:15:00,-77.025737247,theft f/auto,cluster 17,midnight,402.0,1901.0,4.0,,,4.0,397769.62,2025,2025-01-06 00:00:13,7,property|theft f/auto,2025-01-05 18:29:00,precinct 59,theft f/auto,001901 4,2025-01-06,00:00:13,0,Monday,January,2,False,18,46.0,property,theft f/auto,theft,Others,Closed
7F,38.8902532948,1 - 99 block of 35th street ne,property,"38.8902532948,-76.9555232751",6D3,135824.28,others,25003789,2025-01-09 10:41:00,-76.9555232751,burglary,cluster 32,day,603.0,9603.0,7.0,,,6.0,403858.61,2025,2025-01-09 12:31:38,5,property|burglary,2025-01-09 08:38:00,precinct 102,burglary,009603 3,2025-01-09,12:31:38,12,Thursday,January,2,False,8,123.0,property,burglary,burglary,Others,Closed
5C,38.9201997676,2200 - 2299 block of 13th street ne,property,"38.9201997676,-76.9880095897",5D2,139147.71,others,25007087,,-76.9880095897,theft/other,cluster 22,evening,505.0,9102.0,5.0,,,5.0,401039.8,2025,2025-01-15 19:54:21,6,property|theft/other,2025-01-15 18:52:00,precinct 72,theft/other,009102 3,2025-01-15,19:54:21,19,Wednesday,January,3,False,18,,property,theft/other,theft,Others,Open
6B,38.8842708336,600 - 699 block of d street se,property,"38.8842708336,-76.997313367",1D2,135159.2438028585,others,25008824,2025-01-19 13:00:00,-76.997313367,motor vehicle theft,cluster 26,day,107.0,6500.0,6.0,,,1.0,400233.1003181692,2025,2025-01-19 13:18:52,8,property|motor vehicle theft,2025-01-19 11:45:00,precinct 89,motor vehicle theft,006500 2,2025-01-19,13:18:52,13,Sunday,January,3,True,11,75.0,property,motor vehicle theft,theft,Others,Closed
6B,38.8832309303,400 - 499 block of 8th street se,property,"38.8832309303,-76.9949741689",1D3,135043.8150987513,others,25001994,2024-12-31 22:00:00,-76.9949741689,theft/other,cluster 26,evening,106.0,7000.0,6.0,capitol hill,,1.0,400436.0624943576,2025,2025-01-04 19:11:15,6,property|theft/other,2024-12-31 08:20:00,precinct 90,theft/other,007000 2,2025-01-04,19:11:15,19,Saturday,January,1,True,8,820.0,property,theft/other,theft,Others,Closed
6A,38.9050307067,700 - 799 block of florida avenue ne,property,"38.9050307067,-76.9955290515",5D1,137463.76,others,25001240,2025-01-03 12:42:00,-76.9955290515,theft/other,cluster 25,day,501.0,10602.0,6.0,,,5.0,400387.8,2025,2025-01-03 12:53:38,6,property|theft/other,2025-01-03 12:41:00,precinct 83,theft/other,010602 1,2025-01-03,12:53:38,12,Friday,January,1,False,12,1.0,property,theft/other,theft,Others,Closed
3E,38.9487768183,4500 - 4599 block of fort drive nw,property,"38.9487768183,-77.0785086932",2D1,142322.87,others,25013872,2025-01-28 17:30:00,-77.0785086932,theft/other,cluster 11,day,202.0,1100.0,3.0,,,2.0,393194.51,2025,2025-01-29 14:46:21,6,property|theft/other,2025-01-28 17:00:00,precinct 32,theft/other,001100 4,2025-01-29,14:46:21,14,Wednesday,January,5,False,17,30.0,property,theft/other,theft,Others,Closed
7F,38.8836864504,400 - 499 block of burbank street se,property,"38.8836864504,-76.9430645451",6D3,135095.9098187997,others,25009713,2025-01-20 10:00:00,-76.9430645451,theft f/auto,cluster 33,day,603.0,7703.0,7.0,,,6.0,404939.9305305372,2025,2025-01-21 12:40:27,7,property|theft f/auto,2025-01-19 22:00:00,precinct 103,theft f/auto,007703 1,2025-01-21,12:40:27,12,Tuesday,January,4,False,22,720.0,property,theft f/auto,theft,Others,Closed
5D,38.907539879,300 - 385 block of florida avenue ne,property,"38.907539879,-77.001404167",5D1,137742.29,others,25006973,,-77.001404167,theft/other,cluster 23,evening,501.0,8803.0,5.0,,,5.0,399878.21,2025,2025-01-15 16:09:27,6,property|theft/other,2025-01-15 15:13:00,precinct 76,theft/other,008803 2,2025-01-15,16:09:27,16,Wednesday,January,3,False,15,,property,theft/other,theft,Others,Open
7B,38.8795003584,700 - 799 block of 31st street se,property,"38.8795003584,-76.9631087859",6D2,134630.3278663676,others,25022898,2025-02-16 13:02:00,-76.9631087859,theft/other,cluster 34,midnight,605.0,7709.0,7.0,,,6.0,403201.0060169235,2025,2025-02-17 06:49:52,6,property|theft/other,2025-02-16 12:28:00,precinct 132,theft/other,007709 1,2025-02-17,06:49:52,6,Monday,February,8,False,12,34.0,property,theft/other,theft,Others,Closed
6A,38.8898035788,900 - 999 block of east capitol street,property,"38.8898035788,-76.9932000299",1D2,135773.44,others,25420131,2025-01-08 02:15:00,-76.9932000299,theft/other,cluster 26,midnight,108.0,8100.0,6.0,,,1.0,400589.94,2025,2025-01-13 07:00:45,6,property|theft/other,2025-01-08 02:10:00,precinct 85,theft/other,008100 3,2025-01-13,07:00:45,7,Monday,January,3,False,2,5.0,property,theft/other,theft,Others,Closed
1C,38.9182560403,2100 - 2199 block of 19th street nw,violent,"38.9182560403,-77.0444469113",3D3,138932.81,others,25007120,2025-01-15 20:31:00,-77.0444469113,robbery,cluster 1,evening,303.0,4002.0,1.0,,,3.0,396145.49,2025,2025-01-15 21:13:35,4,violent|robbery,2025-01-15 20:29:00,precinct 25,robbery,004002 3,2025-01-15,21:13:35,21,Wednesday,January,3,False,20,2.0,violent,robbery,robbery,Others,Closed
4D,38.9562519752,900 - 935 block of kennedy street nw,property,"38.9562519752,-77.0265998011",4D1,143150.09,others,25010101,2025-01-20 16:00:00,-77.0265998011,theft f/auto,cluster 18,day,403.0,2101.0,4.0,,,4.0,397694.45,2025,2025-01-22 12:44:05,7,property|theft f/auto,2025-01-19 21:00:00,precinct 56,theft f/auto,002101 5,2025-01-22,12:44:05,12,Wednesday,January,4,False,21,1140.0,property,theft f/auto,theft,Others,Closed
1E,38.9212309246,400 - 599 block of college street nw,property,"38.9212309246,-77.0195297295",3D2,139262.29,others,25023774,2025-02-17 11:30:00,-77.0195297295,theft f/auto,cluster 3,day,306.0,3400.0,1.0,,,3.0,398306.42,2025,2025-02-18 07:59:10,7,property|theft f/auto,2025-02-17 11:00:00,precinct 37,theft f/auto,003400 2,2025-02-18,07:59:10,7,Tuesday,February,8,False,11,30.0,property,theft f/auto,theft,Others,Closed
8A,38.8622527489,2400 - 2500 block of martin luther king jr avenue se,property,"38.8622527489,-76.9931812237",7D1,132715.09,others,25013979,2025-01-29 19:04:00,-76.9931812237,theft/other,cluster 37,evening,703.0,7401.0,8.0,anacostia,,7.0,400591.8,2025,2025-01-29 19:04:51,6,property|theft/other,2025-01-29 17:21:00,precinct 119,theft/other,007401 1,2025-01-29,19:04:51,19,Wednesday,January,5,False,17,103.0,property,theft/other,theft,Others,Closed
7D,38.8853470121,1800 - 1899 block of c street se,property,"38.8853470121,-76.9781351478",1D2,135278.9316749695,others,25023158,2025-02-16 23:22:00,-76.9781351478,theft/other,cluster 26,midnight,107.0,6801.0,7.0,,,1.0,401897.0313597134,2025,2025-02-16 23:24:37,6,property|theft/other,2025-02-16 22:43:00,precinct 87,theft/other,006801 1,2025-02-16,23:24:37,23,Sunday,February,7,True,22,39.0,property,theft/other,theft,Others,Closed
